Journal name,Group,Category,JIF Quartile
NATURE METHODS,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q1
Nature Protocols,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q1
Artificial Intelligence in Agriculture,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q1
COMPUTERS AND ELECTRONICS IN AGRICULTURE,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q1
Annual Review of Animal Biosciences,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q1
Farming System,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q1
BRIEFINGS IN BIOINFORMATICS,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q1
Animal Nutrition,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q1
Information Processing in Agriculture,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q1
CURRENT OPINION IN BIOTECHNOLOGY,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q1
POSTHARVEST BIOLOGY AND TECHNOLOGY,Biology & Biochemistry,AGRONOMY,Q1
Agronomy for Sustainable Development,Biology & Biochemistry,AGRONOMY,Q1
PRECISION AGRICULTURE,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q1
Journal of Animal Science and Biotechnology,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q1
Agricultural Water Management,Biology & Biochemistry,AGRONOMY,Q1
Journal of Biological Engineering,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q1
FIELD CROPS RESEARCH,Biology & Biochemistry,AGRONOMY,Q1
Plant Phenomics,Biology & Biochemistry,AGRONOMY,Q1
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q1
INDUSTRIAL CROPS AND PRODUCTS,Biology & Biochemistry,AGRONOMY,Q1
Journal of Agriculture and Food Research,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q1
JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q1
AGRICULTURAL SYSTEMS,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q1
Rice Science,Biology & Biochemistry,AGRONOMY,Q1
BioChip Journal,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q1
AGRICULTURAL AND FOREST METEOROLOGY,Biology & Biochemistry,AGRONOMY,Q1
Smart Agricultural Technology,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q1
Smart Agricultural Technology,Biology & Biochemistry,AGRONOMY,Q1
Crop Journal,Biology & Biochemistry,AGRONOMY,Q1
Crop and Environment,Biology & Biochemistry,AGRONOMY,Q1
EUROPEAN JOURNAL OF AGRONOMY,Biology & Biochemistry,AGRONOMY,Q1
MOLECULAR & CELLULAR PROTEOMICS,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q1
BIOINFORMATICS,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q1
LAB ON A CHIP,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q1
Agriculture & Food Security,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q1
BIOSYSTEMS ENGINEERING,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q1
Chemical and Biological Technologies in Agriculture,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q1
Rice,Biology & Biochemistry,AGRONOMY,Q1
New Biotechnology,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q1
IET Nanobiotechnology,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q1
Cell Reports Methods,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q1
Journal of Integrative Agriculture,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q1
JOURNAL OF DAIRY SCIENCE,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q1
Plant Methods,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q1
IEEE TRANSACTIONS ON NANOBIOSCIENCE,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q1
METHODS,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q1
BIOLOGICAL PROCEDURES ONLINE,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q1
Animal Frontiers,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q1
POULTRY SCIENCE,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q1
Animal,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q1
THEORETICAL AND APPLIED GENETICS,Biology & Biochemistry,AGRONOMY,Q1
World Journal of Mens Health,Biology & Biochemistry,ANDROLOGY,Q1
PLANT AND SOIL,Biology & Biochemistry,AGRONOMY,Q1
Global Change Biology Bioenergy,Biology & Biochemistry,AGRONOMY,Q1
Frontiers in Agronomy,Biology & Biochemistry,AGRONOMY,Q1
JOURNAL OF CHROMATOGRAPHY A,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q1
ACS Synthetic Biology,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q1
BIOCONJUGATE CHEMISTRY,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q1
PROTEOMICS,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q1
PEST MANAGEMENT SCIENCE,Biology & Biochemistry,AGRONOMY,Q1
Acta Crystallographica Section D-Structural Biology,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q1
ANALYTICAL AND BIOANALYTICAL CHEMISTRY,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q1
SLAS Technology,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q2
AGRICULTURE AND HUMAN VALUES,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q1
Agriculture-Basel,Biology & Biochemistry,AGRONOMY,Q1
JOURNAL OF PROTEOME RESEARCH,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q2
PLoS Computational Biology,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q2
Journal of Sustainable Agriculture and Environment,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q1
Agricultural & Environmental Letters,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q1
WORLDS POULTRY SCIENCE JOURNAL,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q1
IRRIGATION SCIENCE,Biology & Biochemistry,AGRONOMY,Q1
Meat and Muscle Biology,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q1
JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q1
IEEE-ACM Transactions on Computational Biology and Bioinformatics,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q2
Andrology,Biology & Biochemistry,ANDROLOGY,Q1
Agronomy-Basel,Biology & Biochemistry,AGRONOMY,Q1
Journal of Breath Research,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q2
Biochemistry Research International,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q2
ANIMAL REPRODUCTION SCIENCE,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q1
BMC BIOINFORMATICS,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q2
Journal of Land Use Science,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q1
Clinical Proteomics,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q2
JOURNAL OF ANIMAL SCIENCE AND TECHNOLOGY,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q1
ANNALS OF AGRICULTURAL SCIENCES,Biology & Biochemistry,"AGRICULTURE, MULTIDISCIPLINARY",Q1
Biomedical Optics Express,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q2
GENETICS SELECTION EVOLUTION,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q1
Dairy,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q1
Gesunde Pflanzen,Biology & Biochemistry,AGRONOMY,Q1
Biotechnology Journal,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q2
JOURNAL OF FLUORESCENCE,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q2
JOURNAL OF MOLECULAR GRAPHICS & MODELLING,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q2
Turkish Journal of Agriculture and Forestry,Biology & Biochemistry,AGRONOMY,Q1
MOLECULAR BREEDING,Biology & Biochemistry,AGRONOMY,Q1
MOLECULAR AND CELLULAR PROBES,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q2
SEED SCIENCE AND TECHNOLOGY,Biology & Biochemistry,AGRONOMY,Q1
Brain Structure & Function,Biology & Biochemistry,ANATOMY & MORPHOLOGY,Q1
JOURNAL OF ANIMAL SCIENCE,Biology & Biochemistry,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Q1
JOURNAL OF BIOMEDICAL OPTICS,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q2
GRASS AND FORAGE SCIENCE,Biology & Biochemistry,AGRONOMY,Q1
Current Bioinformatics,Biology & Biochemistry,BIOCHEMICAL RESEARCH METHODS,Q2
